[18:16:02] [OrderProcessor  ] Listening on 127.0.0.1:6000  | VC=[0, 0, 0, 0]
[18:16:05] [OrderProcessor  ] INTERNAL : Customer places Order#101 (Pizza) for Restaurant1  | VC=[1, 0, 0, 0]
[18:16:05] [OrderProcessor  ] SEND     : 'NewOrder' -> Restaurant1  payload={'order_id': 101, 'item': 'Pizza'}  | VC=[2, 0, 0, 0]
[18:16:05] [OrderProcessor  ] INTERNAL : Customer places Order#102 (Burger) for Restaurant2  | VC=[3, 0, 0, 0]
[18:16:05] [OrderProcessor  ] SEND     : 'NewOrder' -> Restaurant2  payload={'order_id': 102, 'item': 'Burger'}  | VC=[4, 0, 0, 0]
[18:16:06] [OrderProcessor  ] INTERNAL : Initiating global snapshot (Chandy-Lamport)  | VC=[5, 0, 0, 0]
[18:16:06] [OrderProcessor  ] SNAPSHOT : recorded own state (initiator) -> {'process': 'OrderProcessor', 'vector_clock': [5, 0, 0, 0], 'local_state': {'Order#101': 'PLACED', 'Order#102': 'PLACED'}}  | VC=[5, 0, 0, 0]
[18:16:07] [OrderProcessor  ] SNAPSHOT : sent MARKER -> Restaurant1  | VC=[5, 0, 0, 0]
[18:16:07] [OrderProcessor  ] SNAPSHOT : sent MARKER -> Restaurant2  | VC=[5, 0, 0, 0]
[18:16:07] [OrderProcessor  ] SNAPSHOT : sent MARKER -> DeliveryPartner  | VC=[5, 0, 0, 0]
[18:16:07] [OrderProcessor  ] SNAPSHOT : MARKER from Restaurant1; channel[Restaurant1] state = []  | VC=[5, 0, 0, 0]
[18:16:07] [OrderProcessor  ] SNAPSHOT : MARKER from DeliveryPartner; channel[DeliveryPartner] state = []  | VC=[5, 0, 0, 0]
[18:16:07] [OrderProcessor  ] SNAPSHOT : MARKER from Restaurant2; channel[Restaurant2] state = []  | VC=[5, 0, 0, 0]
[18:16:07] [OrderProcessor  ] SNAPSHOT COMPLETE -> {"process_state": {"process": "OrderProcessor", "vector_clock": [5, 0, 0, 0], "local_state": {"Order#101": "PLACED", "Order#102": "PLACED"}}, "channel_states": {"Restaurant1": [], "Restaurant2": [], "DeliveryPartner": []}}  | VC=[5, 0, 0, 0]
[18:16:09] [OrderProcessor  ] RECEIVE  : 'PickedUp' <- DeliveryPartner  payload={'order_id': 101}  | VC=[6, 3, 3, 5]
[18:16:09] [OrderProcessor  ] RECEIVE  : 'Delivered' <- DeliveryPartner  payload={'order_id': 101}  | VC=[7, 3, 3, 7]
[18:16:09] [OrderProcessor  ] INTERNAL : Order#101 DELIVERED  | VC=[8, 3, 3, 7]
[18:16:10] [OrderProcessor  ] RECEIVE  : 'PickedUp' <- DeliveryPartner  payload={'order_id': 102}  | VC=[9, 3, 3, 8]
[18:16:10] [OrderProcessor  ] RECEIVE  : 'Delivered' <- DeliveryPartner  payload={'order_id': 102}  | VC=[10, 3, 3, 10]
[18:16:10] [OrderProcessor  ] INTERNAL : Order#102 DELIVERED  | VC=[11, 3, 3, 10]
[18:16:16] [OrderProcessor  ] OrderProcessor demo sequence finished.  | VC=[11, 3, 3, 10]
