[07:03:55] [Restaurant1     ] Listening on 127.0.0.1:6001  | VC=[0, 0, 0, 0]
[07:03:59] [Restaurant1     ] RECEIVE  : 'NewOrder' <- OrderProcessor  payload={'order_id': 101, 'item': 'Pizza'}  | VC=[2, 1, 0, 0]
[07:03:59] [Restaurant1     ] INTERNAL : Preparing Order#101 (Pizza) at Restaurant1  | VC=[2, 2, 0, 0]
[07:04:00] [Restaurant1     ] SEND     : 'OrderReady' -> DeliveryPartner  payload={'order_id': 101, 'restaurant': 'Restaurant1'}  | VC=[2, 3, 0, 0]
[07:04:00] [Restaurant1     ] SNAPSHOT : recorded own state -> {'process': 'Restaurant1', 'vector_clock': [2, 3, 0, 0], 'local_state': {'Order#101': 'READY'}}  | VC=[2, 3, 0, 0]
[07:04:00] [Restaurant1     ] SNAPSHOT : first MARKER from OrderProcessor; channel[OrderProcessor] state = []  | VC=[2, 3, 0, 0]
[07:04:00] [Restaurant1     ] SNAPSHOT : sent MARKER -> OrderProcessor  | VC=[2, 3, 0, 0]
[07:04:00] [Restaurant1     ] SNAPSHOT : sent MARKER -> Restaurant2  | VC=[2, 3, 0, 0]
[07:04:00] [Restaurant1     ] SNAPSHOT : sent MARKER -> DeliveryPartner  | VC=[2, 3, 0, 0]
[07:04:00] [Restaurant1     ] SNAPSHOT : MARKER from DeliveryPartner; channel[DeliveryPartner] state = []  | VC=[2, 3, 0, 0]
[07:04:00] [Restaurant1     ] SNAPSHOT : MARKER from Restaurant2; channel[Restaurant2] state = []  | VC=[2, 3, 0, 0]
[07:04:00] [Restaurant1     ] SNAPSHOT COMPLETE -> {"process_state": {"process": "Restaurant1", "vector_clock": [2, 3, 0, 0], "local_state": {"Order#101": "READY"}}, "channel_states": {"OrderProcessor": [], "Restaurant2": [], "DeliveryPartner": []}}  | VC=[2, 3, 0, 0]
